"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"44000","Rhode Island","82","    Other services (except government and government enterprises)",723.7,860.6,867.9,945.4,915.0,995.7,1004.6,1027.4,1081.1,1204.8,1111.7,1076.7,1050.0,1057.4,1053.7,1072.2,1086.2,1138.9,1182.6,1215.9,1238.8,1282.3,1331.2,1152.7
"44000","Rhode Island","83","  Government and government enterprises",4384.4,4499.4,4740.2,5081.1,5276.0,5529.5,5879.8,6284.4,6564.2,6843.1,7089.8,7171.9,6963.3,7174.9,7306.3,7293.1,7331.2,7411.8,7570.8,7659.5,8066.3,8256.5,8551.1,8649.9
"44000","Rhode Island","84","    Federal civilian",814.9,815.0,838.1,913.4,935.2,995.5,1044.2,1101.0,1110.5,1170.6,1219.1,1259.3,1314.1,1370.9,1380.5,1408.1,1398.9,1471.7,1533.9,1587.3,1695.3,1737.4,1792.5,1888.7
"44000","Rhode Island","85","    Military",1048.1,1019.9,1046.8,1082.9,1101.7,1121.0,1191.5,1308.7,1453.6,1526.0,1531.8,1468.6,1379.8,1341.7,1293.9,1241.8,1190.6,1125.8,1088.5,1143.6,1170.8,1099.5,1129.7,1140.2
"44000","Rhode Island","86","    State and local",2521.3,2664.5,2855.3,3084.9,3239.1,3413.0,3644.1,3874.7,4000.2,4146.4,4338.9,4444.0,4269.4,4462.3,4631.9,4643.2,4741.7,4814.4,4948.3,4928.6,5200.2,5419.5,5628.9,5621.0
"44000","Rhode Island","","Addenda:","","","","","","","","","","","","","","","","","","","","","","","",""
"44000","Rhode Island","87","Natural resources and mining",112.4,126.8,137.5,154.7,142.6,145.6,147.1,149.5,140.6,152.2,137.4,154.8,149.2,144.8,134.0,130.5,123.1,145.6,170.9,164.2,177.1,160.1,155.4,151.5
"44000","Rhode Island","88","Trade",3421.9,3795.0,3958.5,4235.7,4303.7,4579.8,4860.3,4990.5,5149.3,5195.3,5286.6,5189.2,5068.2,5435.0,5564.5,5861.5,6075.0,6154.0,6422.3,6313.8,6390.6,6614.7,6930.0,6907.2
"44000","Rhode Island","89","Transportation and utilities",975.4,984.0,1036.5,1111.3,1159.4,1062.8,1164.4,1230.9,1271.3,1427.4,1378.0,1482.9,1510.7,1596.4,1617.4,1648.1,1672.0,1718.8,1800.7,1818.6,1861.4,1949.7,2045.3,1884.3
"44000","Rhode Island","90","Manufacturing and information",5393.3,5475.6,5572.4,5519.5,5710.1,6183.1,5844.7,6530.9,6115.5,6751.6,5951.7,6127.9,5763.3,5993.0,6004.3,5819.6,6219.7,6128.3,6638.2,6650.1,6192.2,6289.4,6059.2,5869.5
"44000","Rhode Island","91","Private goods-producing industries 2/",5500.0,5772.0,6041.7,6234.5,6270.5,6565.6,6358.7,6956.1,6766.3,7515.1,6920.3,6649.6,6087.1,6138.6,6027.6,6110.8,6425.2,6327.8,6917.4,7037.7,6981.6,7255.3,7157.3,6969.8
"44000","Rhode Island","92","Private services-providing industries 3/",19044.5,20547.1,21485.3,23151.2,24316.3,25714.1,27399.5,29123.3,31043.6,32846.2,33330.7,33456.0,34651.8,36154.9,36872.2,38179.1,39277.7,40820.0,41902.6,42656.3,42892.9,43617.2,45610.7,44936.7
"Legend / Footnotes:"
"1/ Gross Domestic Product (GDP) is in millions of current dollars (not adjusted for inflation). Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"2/ The private goods-producing industries consist of agriculture, forestry, fishing, and hunting; mining, quarrying, and oil and gas extraction; construction; and manufacturing."
"3/ The private services-producing industries consist of utilities; wholesale trade; retail trade; transportation and warehousing, excluding Postal Service; information; finance and insurance; real estate, rental, and leasing; professional, scientific, and technical services; management of companies; administrative and support and waste management and remediation services; educational services; health care and social assistance; arts, entertainment, and recreation; accommodation and food services; and other services (except government and government enterprises)."
"(L) Less than $50,000."
"Last updated: October 1, 2021-- revised statistics for 1997-2020."
