"year","employ","sector","region"
2000,54.017,1,"IRL"
2000,13.539,2,"IRL"
2000,36.105,3,"IRL"
2000,25.485,5,"IRL"
2000,12.41,6,"IRL"
2000,13.813,7,"IRL"
2000,22.653,8,"IRL"
2000,17.42,9,"IRL"
2000,75.511,10,"IRL"
2000,10.694,11,"IRL"
2000,5.79786738287761,12,"IRL"
2000,1170.402,13,"IRL"
2000,1102.9,14,"ITA"
2000,68.3,4,"ITA"
2000,475.7,1,"ITA"
2000,879.5,2,"ITA"
2000,462.1,3,"ITA"
2000,212.6,5,"ITA"
2000,220.8,6,"ITA"
2000,255.9,7,"ITA"
2000,814.8,8,"ITA"
2000,587.4,9,"ITA"
2000,450.5,10,"ITA"
2000,290.2,11,"ITA"
2000,328.1,12,"ITA"
2000,15174.6,13,"ITA"
2000,3866.79945492227,14,"JPN"
2000,102.504521598306,4,"JPN"
2000,1508.51602953867,1,"JPN"
2000,988.24594366362,2,"JPN"
2000,1467.42188007368,3,"JPN"
2000,498.1354903887,5,"JPN"
2000,744.683690081968,6,"JPN"
2000,466.374276186846,7,"JPN"
2000,1942.76913096337,8,"JPN"
2000,1232.12410320326,9,"JPN"
2000,1999.95664943182,10,"JPN"
2000,1097.40565363401,11,"JPN"
2000,342.364678515713,12,"JPN"
2000,45353.0921354791,13,"JPN"
2000,2243,14,"KOR"
2000,79.0780054700756,4,"KOR"
2000,290.65698715776,1,"KOR"
2000,698.648793759455,2,"KOR"
2000,281.145271606951,3,"KOR"
2000,238.534795706614,5,"KOR"
2000,215.970181258898,6,"KOR"
2000,172.617798422174,7,"KOR"
2000,456.074566154178,8,"KOR"
2000,446.409964245491,9,"KOR"
